Model,MAPE (%),MAE,RMSE,R²
Voting Ensemble,0.02773544712303599,13.68520125144067,66.26354958369919,0.9995804760658225
LightGBM,0.031423634633395696,15.434196037653354,63.88265306161437,0.9996100820410678
Weighted Blend,0.03204541013125327,15.719324812485684,60.91815406701396,0.999645430953095
XGBoost,0.036207700088123226,17.955156326293945,73.3091031821765,0.99948650598526
Neural Network,0.15853765676130294,75.16801452636719,95.21256030915774,0.999133825302124
